model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.6895528	11.5	3.3038	0.0033788173	-4.9859299	-5.0945465	0.012126131	-5.0950232	0.012113883	0.010935138	-4.824408	12.8	0.06101004	1.0733875	-1.5264382	0.10169133	1.526494	-0.10167933	-0.12728769	-1.9760957	1.9469	1	0.292	1.2787561	1.7628663	-0.44123791	-0.15441082	0.063539432	0.27511962	0.0016193298	1.9520389	1.7532727	0.0027013018	1.7533304	0.0027015722	0.00085512113	1.4514983	1.2704956	-0.17644705	-0.55426227	1.7181558	-0.18409624	-1.7178808	0.18410949	0.10502587	2.9576316	2	2	0	0	-98.740598	R0:N12:S0:1	1.4661794	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:26
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.6895527	11.5	3.3038	0.0033788173	-4.9859299	-5.0945465	0.012126131	-5.0950232	0.012113883	0.010935138	-4.824408	12.8	0.06101004	1.0733875	-1.5264382	0.10169133	1.526494	-0.10167933	-0.12728769	-1.9760957	1.9469	1	0.292	1.2787561	1.7628663	-0.44123792	-0.15441082	0.063539433	0.27511962	0.0016193298	1.9520389	1.7532727	0.0027013018	1.7533304	0.0027015722	0.00085512113	1.4514983	1.2704956	-0.17644705	-0.55426227	1.7181558	-0.18409624	-1.7178808	0.18410949	0.10502587	2.9576316	2	2	0	0	-98.740598	R0:N12:S0:1	1.4661794	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:27
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.6895527	11.5	3.3038	0.0033788173	-4.9859299	-5.0945465	0.012126131	-5.0950232	0.012113883	0.010935138	-4.824408	12.8	0.06101004	1.0733875	-1.5264382	0.10169133	1.526494	-0.10167933	-0.12728769	-1.9760957	1.9469	1	0.292	1.2787561	1.7628663	-0.44123792	-0.15441082	0.063539433	0.27511962	0.0016193298	1.9520389	1.7532727	0.0027013018	1.7533304	0.0027015722	0.00085512113	1.4514983	1.2704956	-0.17644705	-0.55426227	1.7181558	-0.18409624	-1.7178808	0.18410949	0.10502587	2.9576316	2	2	0	0	-98.740598	R0:N12:S0:1	1.4661794	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:30
2x2_2C_8b_C2v_L	9.6386111	11.5	3.3038	0.0046278025	-4.971522	-5.0931064	0.012951838	-5.0932632	0.012903432	0.01121563	-4.8252338	12.8	0.061491655	1.0775531	-1.5333953	0.10243532	1.5333797	-0.10245133	-0.12821637	-1.9852431	1.9569	1	0.292	1.2780436	1.7607688	-0.44572701	-0.1560254	0.064173155	0.27617166	0.0016600428	1.9519517	1.7522095	0.0027724362	1.7522887	0.0027745714	0.00086910162	1.4494798	1.2714985	-0.17867383	-0.55332087	1.7207138	-0.18633168	-1.7202987	0.18641324	0.10580567	2.963004	2	2	0	0	-98.761706	R0:N12:S0:1	1.4623465	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:32
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.6895527	11.5	3.3038	0.0033788173	-4.9859299	-5.0945465	0.012126131	-5.0950232	0.012113883	0.010935138	-4.824408	12.8	0.06101004	1.0733875	-1.5264382	0.10169133	1.526494	-0.10167933	-0.12728769	-1.9760957	1.9469	1	0.292	1.2787561	1.7628663	-0.44123792	-0.15441082	0.063539433	0.27511962	0.0016193298	1.9520389	1.7532727	0.0027013018	1.7533304	0.0027015722	0.00085512113	1.4514983	1.2704956	-0.17644705	-0.55426227	1.7181558	-0.18409624	-1.7178808	0.18410949	0.10502587	2.9576316	2	2	0	0	-98.740598	R0:N12:S0:1	1.4661794	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:33
2x2_2C_8b_C2v_L	9.5875588	11.5	3.3038	0.0060134586	-4.9584039	-5.0911686	0.013665335	-5.0904442	0.013701648	0.011466127	-4.8263058	12.8	0.061951788	1.081868	-1.540215	0.10318523	1.540113	-0.10320273	-0.12915968	-1.9944298	1.9669	1	0.292	1.2773316	1.758672	-0.45019734	-0.15762476	0.064803412	0.2772224	0.0017003327	1.9518709	1.751208	0.0028473307	1.7511469	0.0028472058	0.00088334603	1.4474951	1.2725002	-0.18085049	-0.5523516	1.7228895	-0.18866285	-1.7231617	0.18865675	0.10659259	2.9683011	2	2	0	0	-98.782743	R0:N12:S0:1	1.4585286	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:34
2x2_2C_8b_C2v_L	9.7404299	11.5	3.3038	0.0020340548	-4.9985825	-5.0963259	0.011256698	-5.0998744	0.011245938	0.010615921	-4.8239636	12.8	0.06050721	1.0690177	-1.5195354	0.10093813	1.5200456	-0.10093566	-0.12638206	-1.9669796	1.9369	1	0.292	1.2794698	1.7649616	-0.43672441	-0.1527779	0.062900677	0.27402425	0.0015779428	1.952112	1.7542756	0.0026284123	1.7545622	0.0026327192	0.00084170775	1.4535733	1.269449	-0.17414927	-0.55531252	1.7160065	-0.18175747	-1.7147311	0.18191563	0.10426679	2.9520884	2	2	0	0	-98.72355	R0:N12:S0:1	1.4700033	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:35
2x2_2C_8b_C2v_L	9.5363714	11.5	3.3038	0.0072008114	-4.9468261	-5.0892973	0.014383831	-5.0888524	0.014407213	0.011700344	-4.8279144	12.8	0.062406218	1.0862959	-1.5470476	0.10393389	1.5470006	-0.10396393	-0.13011685	-2.0037135	1.9769	1	0.292	1.2766198	1.7565717	-0.45465217	-0.1592098	0.065430881	0.27824396	0.0017409665	1.9518026	1.7501634	0.002922184	1.7501036	0.0029228385	0.0008976656	1.4455581	1.2734722	-0.1830195	-0.55132861	1.7253262	-0.19094953	-1.7256136	0.19096617	0.10737724	2.9735015	2	2	0	0	-98.810556	R0:N12:S0:1	1.4547287	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:36
2x2_2C_8b_C2v_L	9.7913033	11.5	3.3038	0.0006525316	-5.0135616	-5.0995873	0.01037115	-5.1003006	0.01039737	0.010269126	-4.8234764	12.8	0.059981202	1.0648808	-1.5128429	0.10016297	1.5129465	-0.10017948	-0.1254655	-1.957862	1.9269	1	0.292	1.2801859	1.7670674	-0.43217758	-0.15112667	0.062257749	0.27294608	0.001536568	1.9522037	1.7554606	0.0025604845	1.7555189	0.0025621523	0.00082811863	1.4556506	1.2684197	-0.17182309	-0.55624942	1.7129436	-0.17955556	-1.7126829	0.17961631	0.10349212	2.9465566	2	2	0	0	-98.705268	R0:N12:S0:1	1.4738809	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:37
2x2_2C_8b_C2v_L	9.4853384	11.5	3.3038	0.0084195491	-4.9313765	-5.0900926	0.015106986	-5.0868908	0.015108646	0.011931388	-4.8308211	12.8	0.062809699	1.0903266	-1.5542847	0.10472053	1.5538018	-0.10471646	-0.13114281	-2.0132359	1.9869	1	0.292	1.2759125	1.7544864	-0.45905481	-0.16077111	0.066051127	0.27922185	0.0017787918	1.9517034	1.7492532	0.0030012635	1.7490153	0.0029968385	0.00091344045	1.443739	1.2743997	-0.18500814	-0.55051326	1.7272905	-0.19333959	-1.7283124	0.19319082	0.10821994	2.9784223	2	2	0	0	-98.837833	R0:N12:S0:1	1.4509712	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:37
2x2_2C_8b_C2v_L	9.8419867	11.5	3.3038	-0.00066761915	-5.0252035	-5.1006268	0.0094360096	-5.1045686	0.0094833658	0.0098383281	-4.8242605	12.8	0.059416961	1.0603945	-1.5057625	0.099418712	1.5064092	-0.099380705	-0.12456297	-1.948941	1.9169	1	0.292	1.2809011	1.7691637	-0.4276211	-0.14946226	0.061611243	0.27182591	0.0014934926	1.9522683	1.7565098	0.0024921276	1.7566839	0.0024928991	0.00081512143	1.4578526	1.2673479	-0.16936225	-0.55737944	1.7104806	-0.17730778	-1.7098385	0.17732508	0.10272982	2.9407256	2	2	0	0	-98.685936	R0:N12:S0:1	1.4777173	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:39
2x2_2C_8b_C2v_L	9.4339248	11.5	3.3038	0.0094783813	-4.9195676	-5.0896661	0.015807706	-5.0850619	0.015798596	0.012167688	-4.8327465	12.8	0.06319221	1.0946915	-1.5613294	0.10551407	1.5606427	-0.10549712	-0.13217159	-2.022568	1.9969	1	0.292	1.2752014	1.7523847	-0.46347337	-0.16232696	0.066671632	0.28021504	0.001816767	1.9516362	1.7483	0.0030830607	1.7479385	0.0030756083	0.00092905154	1.4418505	1.2753426	-0.18698705	-0.54949937	1.7293753	-0.1957724	-1.7309441	0.19552324	0.109059	2.9834885	2	2	0	0	-98.86833	R0:N12:S0:1	1.4472553	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:39
2x2_2C_8b_C2v_L	9.8926789	11.5	3.3038	-0.0019002783	-5.0329057	-5.1057272	0.0085089678	-5.1066171	0.0084874109	0.0094183522	-4.824863	12.8	0.058840862	1.0554817	-1.4993291	0.098627989	1.4994535	-0.0986189	-0.12367772	-1.9399842	1.9069	1	0.292	1.2816186	1.7712675	-0.42302934	-0.14777765	0.060959717	0.27069156	0.0014506154	1.9523119	1.7577053	0.0024244779	1.7577787	0.0024251145	0.00080280255	1.4600549	1.2662615	-0.16687241	-0.5586293	1.7075677	-0.17503357	-1.7072361	0.17505874	0.10199434	2.9348431	2	2	0	0	-98.662026	R0:N12:S0:1	1.4815745	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:41
2x2_2C_8b_C2v_L	9.3826308	11.5	3.3038	0.010417424	-4.9079674	-5.0859027	0.016495512	-5.086757	0.016492001	0.01242573	-4.8365576	12.8	0.063568831	1.0991059	-1.5678778	0.10630053	1.5680089	-0.10629403	-0.13325587	-2.0322842	2.0069	1	0.292	1.2744944	1.7502965	-0.4678446	-0.16386109	0.06728548	0.28116996	0.0018545472	1.951563	1.7470805	0.0031605351	1.7471401	0.0031612703	0.0009454929	1.4401097	1.2762462	-0.18893135	-0.54855838	1.732618	-0.198024	-1.7323675	0.19804813	0.10992416	2.988269	2	2	0	0	-98.903589	R0:N12:S0:1	1.4435865	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:41
2x2_2C_8b_C2v_L	9.9432165	11.5	3.3038	-0.0030420023	-5.0456304	-5.1087636	0.007531402	-5.1099298	0.0075308431	0.0089227626	-4.8261663	12.8	0.058250457	1.0510881	-1.4925529	0.097844866	1.4927297	-0.097838814	-0.12277679	-1.9311186	1.8969	1	0.292	1.2823362	1.7733666	-0.4184235	-0.14607816	0.06030445	0.26953523	0.0014077396	1.9523823	1.7588411	0.0023580209	1.7589149	0.002358784	0.00078994264	1.4623336	1.2651534	-0.1643498	-0.55975871	1.7048085	-0.17276999	-1.7044947	0.17279794	0.10122489	2.9288058	2	2	0	0	-98.648002	R0:N12:S0:1	1.4854003	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:42
2x2_2C_8b_C2v_L	9.331123	11.5	3.3038	0.011254767	-4.8951831	-5.0882973	0.017142821	-5.0854154	0.017165015	0.012733087	-4.8407173	12.8	0.063911666	1.1033199	-1.5753268	0.10710269	1.5748848	-0.10711414	-0.13439117	-2.0420644	2.0169	1	0.292	1.2737859	1.7482004	-0.47220958	-0.16538571	0.06789576	0.2820868	0.0018906117	1.9514875	1.7462655	0.0032460089	1.7460594	0.0032427134	0.00096281996	1.4384016	1.277111	-0.19076607	-0.54764126	1.7342454	-0.20049843	-1.7351145	0.20039213	0.1108261	2.992964	2	2	0	0	-98.943366	R0:N12:S0:1	1.4399899	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:43
2x2_2C_8b_C2v_L	9.9936517	11.5	3.3038	-0.0041643404	-5.0574518	-5.115199	0.0065447903	-5.1117242	0.0065457816	0.0084343044	-4.8265876	12.8	0.057634602	1.0466175	-1.4862526	0.097041001	1.4857476	-0.097049686	-0.12187212	-1.9220746	1.8869	1	0.292	1.2830545	1.7754667	-0.41379623	-0.14436216	0.059644375	0.26836919	0.0013647595	1.9524469	1.7601817	0.0022942885	1.7599291	0.0022912409	0.00077728253	1.4645709	1.2640359	-0.16177955	-0.56092026	1.7012298	-0.17056596	-1.7023472	0.17044813	0.10046336	2.9227899	2	2	0	0	-98.634131	R0:N12:S0:1	1.4892345	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:44
2x2_2C_8b_C2v_L	9.2792818	11.5	3.3038	0.011756955	-4.8780414	-5.0887422	0.017874443	-5.0866944	0.01790008	0.013124321	-4.8439918	12.8	0.064172148	1.1070268	-1.5825313	0.10796496	1.5822069	-0.10798261	-0.13557597	-2.0516941	2.0269	1	0.292	1.2730742	1.7460907	-0.47658419	-0.1669038	0.068505494	0.28301864	0.0019232267	1.9513942	1.7452862	0.0033342295	1.7451577	0.0033326894	0.00098159907	1.4366304	1.2779899	-0.19239968	-0.54679173	1.7365846	-0.20300771	-1.737105	0.20296059	0.11179059	2.9977466	2	2	0	0	-98.974243	R0:N12:S0:1	1.4365002	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:45
2x2_2C_8b_C2v_L	10.04396	11.5	3.3038	-0.0051929189	-5.0669388	-5.1188517	0.0055328332	-5.1162871	0.0055543489	0.007871747	-4.8280825	12.8	0.056985454	1.0418975	-1.4795378	0.096251974	1.4791631	-0.09624329	-0.12096734	-1.9131977	1.8769	1	0.292	1.2837729	1.7775633	-0.40915002	-0.14263094	0.058979979	0.2671797	0.0013208388	1.9524946	1.7613285	0.002229782	1.7611453	0.002226903	0.00076491414	1.466911	1.2628946	-0.15910884	-0.56220744	1.6984938	-0.16829367	-1.6993041	0.16818244	0.099700511	2.9165349	2	2	0	0	-98.61767	R0:N12:S0:1	1.4930558	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:46
2x2_2C_8b_C2v_L	9.2275388	11.5	3.3038	0.012161735	-4.8643386	-5.0880005	0.018652236	-5.0873722	0.018611438	0.013608916	-4.8486006	12.8	0.064410475	1.1110876	-1.5895385	0.1088468	1.5894062	-0.1088228	-0.13681123	-2.0616439	2.0369	1	0.292	1.272366	1.7439993	-0.48091235	-0.16840545	0.069106817	0.28393615	0.0019548667	1.9513249	1.7442511	0.0034250275	1.7442604	0.0034236862	0.0010007839	1.4349448	1.2788536	-0.19397445	-0.54582148	1.7391066	-0.20555281	-1.7390054	0.2055199	0.11276584	3.0024156	2	2	0	0	-99.011299	R0:N12:S0:1	1.433102	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:47
2x2_2C_8b_C2v_L	10.094232	11.5	3.3038	-0.0061422292	-5.0819676	-5.1208933	0.0045551684	-5.1209101	0.0045536707	0.0072811185	-4.8299106	12.8	0.056366833	1.0377133	-1.4725897	0.095423967	1.4725837	-0.095417207	-0.12005824	-1.9043639	1.8669	1	0.292	1.2844932	1.7796666	-0.40447275	-0.14088133	0.058310325	0.26598204	0.0012793226	1.9525786	1.7623902	0.0021644778	1.7624035	0.0021643312	0.00075213074	1.4692869	1.2617451	-0.15654626	-0.5632975	1.6960807	-0.16594752	-1.6960085	0.16594357	0.09891328	2.9102239	2	2	0	0	-98.609928	R0:N12:S0:1	1.4968822	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:48
2x2_2C_8b_C2v_L	9.1751453	11.5	3.3038	0.012291299	-4.8489562	-5.0897239	0.019458833	-5.089449	0.019418584	0.014181116	-4.853454	12.8	0.064660595	1.1149036	-1.5969336	0.10974849	1.5968846	-0.1097459	-0.13811576	-2.0716451	2.0469	1	0.292	1.2716492	1.741869	-0.48528812	-0.16991103	0.069706508	0.28481616	0.0019875691	1.9512491	1.7433587	0.0035193724	1.7433494	0.0035190996	0.0010212601	1.4332814	1.2796785	-0.19558229	-0.54489724	1.7411056	-0.20816923	-1.7411324	0.20816174	0.11379543	3.0070117	2	2	0	0	-99.053452	R0:N12:S0:1	1.4298201	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:50
2x2_2C_8b_C2v_L	10.144341	11.5	3.3038	-0.0068156021	-5.0895891	-5.1253243	0.0035566839	-5.1256867	0.0035389664	0.0066860203	-4.832464	12.8	0.055674184	1.0328488	-1.4659529	0.094588678	1.4659938	-0.094584885	-0.1191485	-1.895657	1.8569	1	0.292	1.2852131	1.7817638	-0.39978054	-0.13911722	0.057635939	0.264751	0.0012349615	1.952607	1.7635871	0.0021007715	1.7636304	0.0021011539	0.00074006663	1.4717505	1.260562	-0.1537564	-0.56474117	1.6931538	-0.16362521	-1.6929421	0.16364263	0.098144357	2.9036359	2	2	0	0	-98.593864	R0:N12:S0:1	1.5007025	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:50
2x2_2C_8b_C2v_L	10.19428	11.5	3.3038	-0.0073395544	-5.0968493	-5.1298158	0.0025895816	-5.1315314	0.0025989485	0.0060603982	-4.8339883	12.8	0.054935144	1.0279528	-1.4593178	0.093752777	1.4595556	-0.093742474	-0.11822846	-1.8867199	1.8469	1	0.292	1.2859326	1.783859	-0.39507435	-0.13733988	0.056957768	0.26351841	0.0011898243	1.9526339	1.7647787	0.0020383296	1.7649128	0.0020395025	0.0007280818	1.4741675	1.2593778	-0.15086689	-0.5661918	1.6902804	-0.16130661	-1.6896675	0.16135645	0.097378009	2.8970825	2	2	0	0	-98.577247	R0:N12:S0:1	1.5045305	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:51
2x2_2C_8b_C2v_L	9.1216172	11.5	3.3038	0.012063563	-4.8368465	-5.0907188	0.020328061	-5.0918276	0.020318712	0.014906438	-4.8587285	12.8	0.064854781	1.1190541	-1.6042207	0.11068585	1.6044046	-0.11069142	-0.13947293	-2.0817947	2.0569	1	0.292	1.2709159	1.7396704	-0.4897677	-0.1714384	0.070303262	0.28568692	0.0020177586	1.9511989	1.7424167	0.0036172444	1.742478	0.0036189804	0.0010421953	1.4316367	1.2804934	-0.1970561	-0.54383069	1.7433038	-0.21084201	-1.7430685	0.2108915	0.11484438	3.0116044	2	2	0	0	-99.102438	R0:N12:S0:1	1.4266653	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:52
2x2_2C_8b_C2v_L	10.244091	11.5	3.3038	-0.0077079234	-5.1099024	-5.1355991	0.0017070936	-5.1333838	0.0017161164	0.0054387733	-4.8361302	12.8	0.054270562	1.0235794	-1.4528736	0.092865686	1.4525744	-0.092869132	-0.11730745	-1.8778922	1.8369	1	0.292	1.2866524	1.7859572	-0.39034672	-0.13554938	0.056274742	0.26228553	0.0011489727	1.952704	1.7661306	0.0019780613	1.7659459	0.0019760237	0.00071568824	1.4766284	1.2581931	-0.14820646	-0.56739749	1.6865609	-0.15903684	-1.6874187	0.15894928	0.096585418	2.890483	2	2	0	0	-98.568218	R0:N12:S0:1	1.508398	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:53
2x2_2C_8b_C2v_L	9.0642544	11.5	3.3038	0.011551698	-4.8254262	-5.0923789	0.021313949	-5.0927988	0.021286326	0.015769322	-4.8642447	12.8	0.065042747	1.1232306	-1.6116779	0.11166913	1.6117323	-0.11168364	-0.14090271	-2.092031	2.0669	1	0.292	1.2701218	1.7372125	-0.49467209	-0.17307479	0.070897644	0.28655991	0.0020484718	1.9511611	1.7414966	0.003721625	1.7415494	0.0037237543	0.0010642556	1.4299981	1.2813092	-0.19854273	-0.54268618	1.745408	-0.21365196	-1.7451632	0.21371734	0.11594084	3.0162094	2	2	0	0	-99.152154	R0:N12:S0:1	1.4236579	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:54
2x2_2C_8b_C2v_L	10.293723	11.5	3.3038	-0.0077370734	-5.1200421	-5.1390517	0.00090270029	-5.1392072	0.00090306099	0.0048068881	-4.8391144	12.8	0.053524297	1.0189861	-1.4461064	0.091985649	1.4461379	-0.091988743	-0.11637502	-1.8691757	1.8269	1	0.292	1.2873715	1.7880488	-0.38560581	-0.13374517	0.055586844	0.26101695	0.0011052635	1.9527429	1.7672659	0.0019160318	1.7672631	0.0019161431	0.0007035119	1.4791958	1.2569728	-0.14530699	-0.56882968	1.6838922	-0.15664926	-1.6839192	0.15665217	0.095788483	2.8835791	2	2	0	0	-98.558314	R0:N12:S0:1	1.5122561	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:55
